imagename,indic, height
NRmarshDN-12-02-12-14-15.jpg,0,51.281
NRmarshDN-12-02-12-14-30.jpg,0,48.586
NRmarshDN-12-02-12-14-45.jpg,0,45.554
NRmarshDN-12-02-12-15-00.jpg,0,42.63
NRmarshDN-12-02-12-15-15.jpg,0,39.431
NRmarshDN-12-02-12-15-30.jpg,0,36.622
NRmarshDN-12-02-12-15-45.jpg,0,34.035
NRmarshDN-12-02-12-16-00.jpg,0,32.184
NRmarshDN-12-02-12-16-15.jpg,0,29.203
NRmarshDN-12-02-12-16-30.jpg,0,27.618
NRmarshDN-12-02-12-16-45.jpg,0,25.371
NRmarshDN-12-02-12-17-00.jpg,0,24.154
NRmarshDN-12-02-12-17-15.jpg,0,21.071
NRmarshDN-12-02-12-17-30.jpg,0,19.309
NRmarshDN-12-02-12-17-45.jpg,0,17.595
NRmarshDN-12-02-12-18-00.jpg,0,16.045
NRmarshDN-12-02-12-18-15.jpg,0,14.482
NRmarshDN-12-02-12-18-30.jpg,0,13.36
NRmarshDN-12-02-12-18-45.jpg,0,12.587
NRmarshDN-12-02-12-19-00.jpg,0,12.117
NRmarshDN-12-02-12-19-15.jpg,0,11.941
NRmarshDN-12-02-12-19-30.jpg,0,11.883
NRmarshDN-12-02-12-19-45.jpg,0,11.924
NRmarshDN-12-02-12-20-00.jpg,0,11.886
NRmarshDN-12-02-12-20-15.jpg,0,11.915
NRmarshDN-12-02-12-20-30.jpg,0,11.927
NRmarshDN-12-02-12-20-45.jpg,0,11.946
NRmarshDN-12-02-12-21-00.jpg,0,11.956
NRmarshDN-12-02-12-21-15.jpg,0,13.105
NRmarshDN-12-02-12-21-30.jpg,0,16.943
NRmarshDN-12-02-12-21-45.jpg,0,21.276
NRmarshDN-12-02-12-22-00.jpg,0,25.811
NRmarshDN-12-02-12-22-15.jpg,0,30.735
NRmarshDN-12-02-12-22-30.jpg,0,36.027
NRmarshDN-12-02-12-22-45.jpg,0,41.038
NRmarshDN-12-02-12-23-00.jpg,0,45.91
NRmarshDN-12-02-12-23-15.jpg,0,50.812
NRmarshDN-12-02-12-23-30.jpg,0,55.517
NRmarshDN-12-02-12-23-45.jpg,0,59.894
NRmarshDN-12-02-13-00-00.jpg,0,63.805
NRmarshDN-12-02-13-00-15.jpg,0,67.228
NRmarshDN-12-02-13-00-30.jpg,0,69.918
NRmarshDN-12-02-13-00-45.jpg,0,72.086
NRmarshDN-12-02-13-01-00.jpg,0,73.605
NRmarshDN-12-02-13-01-15.jpg,0,74.807
NRmarshDN-12-02-13-01-30.jpg,0,74.841
NRmarshDN-12-02-13-01-45.jpg,0,76.238
NRmarshDN-12-02-13-02-00.jpg,0,76.274
NRmarshDN-12-02-13-02-15.jpg,0,75.086
NRmarshDN-12-02-13-02-30.jpg,0,72.752
NRmarshDN-12-02-13-02-45.jpg,0,70.167
NRmarshDN-12-02-13-03-00.jpg,0,66.64
NRmarshDN-12-02-13-03-15.jpg,0,62.572
NRmarshDN-12-02-13-03-30.jpg,0,58.445
